name,desc,stock,revenue,price,genres,platforms,tags
Legend of Zelda: Wind Waker HD,"The game is set on a group of islands in a vast sea, a departure for the series. The player controls series protagonist Link as he attempts to save his sister from the sorcerer Ganon and becomes embroiled in a struggle for the Triforce, a sacred wish-granting relic. Aided by allies including pirate captain Tetra – an incarnation of Princess Zelda – and a talking sailboat named the King of Red Lions, Link sails the ocean, explores islands, and traverses dungeons to acquire the power necessary to defeat Ganon. Wind, which facilitates sailing, plays a prominent role and can be controlled with a magic conductor's baton called the Wind Waker.",40400,868676585.7,345.99,"Fantasy,Action-Adventure,RPG",Nintendo Wii U,"Anime,Cartoon,Swordmanship,Singleplayer"
Honkai: Star Rail,"The game features the main character, who is referred to as the Trailblazer, traveling across planets through the Astral Express to help and connect the worlds while resolving disasters caused by Stellarons"" and other third parties.""",56965,2373738844,0,"Turn-based Tactics,Gacha,RPG","Windows,PS5,iOS,Android","Anime,Cartoon,Sci-Fi,Outer Space,Planets,Trains,Singleplayer"
Super Mario Galaxy 2,"Much like the first game, the story follows Mario as he pursues the Koopa King, Bowser, into outer space, where he has imprisoned Princess Peach and taken control of the universe using Power Stars and Grand Stars. Mario must travel across various galaxies to recover the Power Stars in order to travel to the center of the universe and rescue Princess Peach.",65795,283838494,335.99,3D Platformer,Nintendo Wii,"Cartoon,Outer Space,Galaxies,Stars,Mario,Singleplayer,Power Ups,3D"
Valorant,"A team-based first-person tactical hero shooter set in the near future. Players play as one of a set of Agents, characters based on several countries and cultures around the world.",75855,46467474849,0,"First-person,Tactical,Hero Shooter","Xbox Series X/S,Windows,PS5","Riot Games,Cartoon,Fantasy,Online Multiplayer,Teams,First-Person"
Undertale,"The player controls a child who has fallen into the Underground: a large, secluded region under the surface of the Earth, separated by a magical barrier. The player meets various monsters during the journey back to the surface, some of which may engage in combat. The combat system involves the player navigating through mini-bullet hell attacks by the opponent. They can opt to pacify or subdue monsters in order to spare them instead of killing them. These choices affect the game, with the dialogue, characters, and story changing based on outcomes.",84950,253646783.8,349.99,"Turn-based Tactics,RPG","OS X,Windows,Linux,PS4,Playstation Vita,Nintendo Switch,Xbox One","Branching Storylines,Various Endings,Singleplayer,16-bit Pixels"
Super Mario 3D Land,"Super Mario 3D Land combines elements from both traditional 2D side-scrolling games and modern free-roaming 3D games in the Mario series. It also introduces new additional gameplay mechanics and power-ups. The main story is similar to previous Super Mario titles, centering on Mario's efforts to rescue Princess Peach, who has been kidnapped by Bowser.",22880,637484839.3,355.99,"3D Platformer,2D Side-Scroller",Nintendo 3DS/2DS,"Mario,Singleplayer,Power Ups,3D,2D"
Super Mario Odyssey,"An entry in the Super Mario series, it follows Mario and his new ally Cappy—a sentient hat—as they journey across various kingdoms to save Princess Peach from Mario's nemesis Bowser's plans of forced marriage. In contrast to the linear gameplay of prior entries, the game returns to the primarily open-ended, 3D platform gameplay featured in Super Mario 64 and Super Mario Sunshine. In the game, Mario explores various kingdoms and collects Power Moons hidden inside them, used as a fuel source to power an airship known as the Odyssey to travel to new locations. Cappy's main function is the 'capture' ability, letting Mario possess enemies and other objects, helping him solve puzzles and progress in the game. The game includes a multiplayer mode and also supports virtual reality with a Nintendo Labo virtual reality kit.",45895,34747585959,200.99,"Platform,Action-Adventure",Nintendo Switch,"Cartoon,Flying Ships,Underwater"
Fortnite Battle Royale,"The concept of the game is similar to previous games of the genre: 100 players skydive onto an island and scavenge for gear to defend themselves from other players. Players can fight alone, or with up to three other players. As the match progresses, the playable area within the island gradually constricts, giving the players less and less room to work with; outside this safe zone is 'the Storm', which inflicts damage on those caught inside it, with the amount of damage growing as the Storm itself does. The last player or team alive wins the match. The main distinction from others in the genre is the game's construction elements, letting players build walls, which can be later edited, obstacles, and other structures from collected resources to take cover from incoming fire or give one a strategic view advantage.",46750,5858549455,0,"Third-person Shooter,Battle Royale","macOS,PS4,Windows,Xbox One,iOS,Nintenddo Switch,Android,Xbox Series X/S,PS5","Cartoon,Building,Player Vs. Player"
Resident Evil Village,"Players control Ethan Winters, who searches for his kidnapped daughter in a mysterious village filled with mutant creatures. Village maintains survival horror elements from previous games, with players scavenging environments for items and managing resources while adding more action-oriented gameplay, with higher enemy counts and a greater emphasis on combat.",10295,5447585935,190.99,"First-person,Survival Horror","PS4,PS5,Windows,Xbox One,Xbox Series X/S,macOS,Nintendo Switch,iOS,iPadOS","Semi-Realism,Survival Horror,Singleplayer,Overarching Storyline"
Infinity Nikki,"Set in the world of Miraland, players accompany Nikki and her feline companion, Momo, on a quest to rescue a mystical god of wishes. Different outfits grant abilities for navigating diverse environments and solving challenges.",49560,3839494495,0,"Open World,Action-Adventure,Dress-Up","Android,iOS,PS5,Windows","Anime,Cartoon,Dress Up,Puzzles"
Persona 5: Royal,"Taking place in modern-day Tokyo, the story follows a high school student known by the codename Joker who transfers to a new school after he is framed for assault and put on probation. Over the course of a school year, he and other students awaken to a special power, becoming a group of secret vigilantes known as the Phantom Thieves of Hearts. They explore the Metaverse, a supernatural realm born from humanity's subconscious desires, to steal malevolent intent from the hearts of adults and change their hearts. As with previous games in the series, the party battles enemies known as Shadows using physical manifestations of their psyche known as Personas. The game incorporates role-playing and dungeon crawling elements alongside social simulation scenarios.",95860,4848484848,150.99,"Turn-based Tactics,RPG,Social Simulation","PS3,PS4,Nintendo Switch,PS5,Windows,Xbox One,Xbox Series X/S","Anime,Cartoon,Social Commentary,Singleplayer"
Wuthering Waves,"Wuthering Waves is set in a futuristic, post-apocalyptic world of Solaris-3 after a catastrophe called the Lament wiped out most of humanity and caused unknown beings and monsters, called Tacet Discords, to appear. Humanity adapted to the threat and over time rebuilt civilization. The story follows the amnesiac Rover, who has awakened from a deep slumber and sets out to explore this new world.",100385,2323232323,0,"Open World,Action RPG,Gacha","Windows,Android,iOS,PS5,macOS","Anime,Cartoon,Post-Apocalyptic,Singleplayer,Online Multiplayer"
League of Legends,"In the game, two teams of five players battle in player-versus-player combat, each team occupying and defending their half of the map. Each of the ten players controls a character, known as a 'champion', with unique abilities and differing styles of play. During a match, champions become more powerful by collecting experience points, earning gold, and purchasing items to defeat the opposing team. In League's main mode, Summoner's Rift, a team wins by pushing through to the enemy base and destroying their 'Nexus', a large structure located within.",129480,1101006060,0,Multiplayer Online Battle Arena (MOBA),"Windows,macOS,iOS,Android","Riot Games,Cartoon,Fantasy,Online Multiplayer,Teams,Third-Person Overhead View"
Dead By Daylight," It is a one-versus-four game in which one player takes on the role of a Killer and the other four play as Survivors; the Killer must hunt and impale each Survivor on sacrificial hooks to appease a malevolent force known as the Entity, while the Survivors have to avoid being caught and power up the exit gates by working together to fix five generators. The game has featured crossovers with many different horror films, television series, and video games.",115115,3939393939,230.99,"Asymmetric Multiplayer,Survival Horror","Windows,PS4,Xbox One,Nintendo Switch,Android,iOS,Xbox Series X/S,PS5","Semi-Realism,Horror Survival,Online Multiplayer"
Sonic Generations,"Produced in commemoration of the 20th anniversary of the Sonic the Hedgehog series, the game follows Sonic and his sidekick Tails as they form an alliance with their past selves and travel through levels from previous Sonic games. It features two gameplay styles: 'Classic', which plays from a side-scrolling perspective like that of the original Sega Genesis Sonic games, and 'Modern', 3D levels similar to those in Sonic Unleashed (2008) and Sonic Colors (2010).",101010,6784949506,120.99,"3D Platformer,2D Side-Scroller","PS3,Xbox 360,Windows,Nintendo 3DS/2DS,Nintendo Switch,PS4,PS5,Xbox One,Xbox Series X/S","Anime,Cartoon,High Speed,Fantasy,Power Ups,Time Travel"
